A,,,,
Balongbendo,Jawa Timur,Daop VIII Surabaya,BLB,Tidak beroperasi
Balung,Jawa Timur,Daop IX Jember,BUG,Tidak beroperasi
Bangkalan,Jawa Timur,Daop VIII Surabaya,BKL,Tidak beroperasi
Banjar,Jawa Barat,Daop II Bandung,BJR,Beroperasi
Banjaranyar,Jawa Timur,Daop VII Madiun,BNR,Tidak beroperasi
Banjaran (ke Srg),Jawa Barat,Daop II Bandung,BJA,Tidak beroperasi
Banjaran (ke Ppk),Jawa Tengah,Daop V Purwokerto,BJN,Tidak beroperasi
Banjarkemantren,Jawa Timur,Daop VIII Surabaya,BJK,Tidak beroperasi
Banjarnegara,Jawa Tengah,Daop V Purwokerto,BA,Tidak beroperasi
Banjarsari (ke Cij),Jawa Barat,Daop II Bandung,BJI,Tidak beroperasi
Banjarsari (ke Ws),Jawa Tengah,Daop V Purwokerto,BJRS,Tidak beroperasi
Bandung,Jawa Barat,Daop II Bandung,BD,Beroperasi
"Bandung Gudang
d.h. Bandoeng-goederenstation",Jawa Barat,Daop II Bandung,BDG,Tidak beroperasi
Bangak,Jawa Tengah,Daop VI Yogyakarta,BGK,Tidak beroperasi
Bangil,Jawa Timur,Daop VIII Surabaya,BG,Beroperasi
Bangilan,Jawa Timur,Daop IV Semarang,BIA,Tidak beroperasi
Bangkalan,Jawa Timur,Daop VIII Surabaya,BKL,Tidak beroperasi
Bangoduwa,Jawa Barat,Daop III Cirebon,BDW,Beroperasi
Bangsal SS,Jawa Timur,Daop VIII Surabaya,BSL,Tidak beroperasi
Bangsalsari,Jawa Timur,Daop IX Jember,BSS,Beroperasi
Banyudono,Jawa Tengah,Daop VI Yogyakarta,BNO,Tidak beroperasi
Banyuwangi,Jawa Timur,Daop IX Jember,BW,Tidak beroperasi
"Banyuwangi Kota
d.h. Karangasem",Jawa Timur,Daop IX Jember,BWI,Beroperasi
"Banyuwangi Pelabuhan
d.h. Banjoewangi-Boom",Jawa Timur,Daop IX Jember,BWH,Tidak beroperasi
Bareng,Jawa Tengah,Daop IV Semarang,BAE,Tidak beroperasi
Baron,Jawa Timur,Daop VII Madiun,BRN,Beroperasi
Batang,Jawa Tengah,Daop IV Semarang,BTG,Beroperasi
"Batavia Noord
d.h. Batavia NIS",DKI Jakarta,Daop I Jakarta,-,Tidak beroperasi
"Batavia Zuid
d.h. Batavia BOS",DKI Jakarta,Daop I Jakarta,-,Tidak beroperasi
Batu Ceper,Banten,Daop I Jakarta,BPR,Beroperasi
Batulawang,Jawa Barat,Daop II Bandung,BTW,Tidak beroperasi
Baturetno,Jawa Tengah,Daop VI Yogyakarta,BRO,Tidak beroperasi
Batutulis,Jawa Barat,Daop I Jakarta,BTT,Beroperasi
Bayah,Banten,Daop I Jakarta,BAH,Tidak beroperasi
Bayeman,Jawa Timur,Daop IX Jember,BYM,Beroperasi
Bayongbong,Jawa Barat,Daop II Bandung,BYO,Tidak beroperasi
Bedono,Jawa Tengah,Daop IV Semarang,BDN,Beroperasi terbatas
"Bekasi
d.h. Bekassi",Jawa Barat,Daop I Jakarta,BKS,Beroperasi
Bekasi Timur,Jawa Barat,Daop I Jakarta,BKST,Beroperasi
Benculuk,Jawa Timur,Daop IX Jember,BEN,Tidak beroperasi
Bendo (Kediri),Jawa Timur,Daop VII Madiun,BEO,Tidak beroperasi
Bendosendung,Jawa Timur,Daop VII Madiun,BDO,Tidak beroperasi
Benowo,Jawa Timur,Daop VIII Surabaya,BNW,Beroperasi
"Benteng
d.h. Soerabaja-Fort Prins Hendrik",Jawa Timur,Daop VIII Surabaya,BET,Beroperasi
Beran,Jawa Tengah,Daop VI Yogyakarta,BRA,Tidak beroperasi
Blabak,Jawa Tengah,Daop VI Yogyakarta,BAB,Tidak beroperasi
Blimbing (Jombang),Jawa Timur,Daop VII Madiun,BLM,Tidak beroperasi
Blimbing (Malang),Jawa Timur,Daop VIII Surabaya,BMG,Beroperasi
Blitar,Jawa Timur,Daop VII Madiun,BL,Beroperasi
Blondo,Jawa Tengah,Daop VI Yogyakarta,BLD,Tidak beroperasi
Blora,Jawa Tengah,Daop IV Semarang,BLA,Tidak beroperasi
Bluluk,Jawa Timur,Daop VII Madiun,BLK,Tidak beroperasi
"Bojonegoro
d.h. Bodjonegoro NIS",Jawa Timur,Daop VIII Surabaya,BJ,Beroperasi
Bojonegoro Kota,Jawa Timur,Daop VIII Surabaya,BJK,Tidak beroperasi
Bojong (Bandung),Jawa Barat,Daop II Bandung,BJG,Beroperasi
Bojong (Semarang),Jawa Tengah,Daop IV Semarang,-,Tidak Beroperasi
Bojonggede,Jawa Barat,Daop I Jakarta,BJD,Beroperasi
Bojong Indah,DKI Jakarta,Daop I Jakarta,BOI,Beroperasi
"Bogor
d.h. Buitenzorg",Jawa Barat,Daop I Jakarta,BOO,Beroperasi
Boharan,Jawa Timur,Daop VIII Surabaya,BH,Beroperasi
