,0,1,2,3,4
3,76  Doplang (DPL),,Ls,14:12:00,
4,,77  Randublatung (RBG),Ls,14:23:00,
5,78  Wadu (WDU),,Ls,14:31:00,
6,79  Kapuan (KPA),,Ls,14:35:00,
7,80  Cepu (CU),,Ls,14:39:00,
8,81,Tobo (TBO),Ls,14:45:00,
9,82  Kalitidu (KIT),,Ls,14:53:00,
10,83  Bojonegoro (BJ),,Ls,15:02:00,
11,84  Kapas (KPS),,Ls,15:06:00,
12,85,Sumberrejo (SRJ),Ls,15:10:00,
13,86  Bowerno (BWO),,Ls,15:17:00,
14,87  Babat (BBT),,Ls,15:23:00,
15,88  Gembong (GEB),,Ls,15:26:00,
16,89,Pucuk (PC),Ls,15:29:00,
17,90,Surabayan (SBN),Ls,15:34:00,
18,91,Lamongan (LMG),Ls,15:39:00,
19,92  Duduk (DD),,Ls,15:46:00,
20,93  Cerme (CME),,Ls,15:52:00,
21,94  Benowo (BNW),,Ls,15:55:00,
22,95  Kandangan (KDA),,Ls,15:58:00,
23,96,Tandes (TES),Ls,16:00:00,
24,97,Surabaya Pasarturi (SBI),16:05:00,,
0,No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,1,Surabaya Pasarturi (SBI),,21:15:00,
2,2,Tandes (TES),Ls,21:20:00,
3,3,Kandangan (KDA),Ls,21:22:00,
4,4,Benowo (BNW),Ls,21:25:00,
5,5,Cerme (CME),Ls,21:28:00,
6,6,Duduk (DD),Ls,21:34:00,
7,7,Lamongan (LMG),Ls,21:41:00,
8,8,Surabayan (SBN),Ls,21:46:00,
9,9,Pucuk (PC),Ls,21:51:00,
10,10  Gembong (GEB),,Ls,21:54:00,
11,11  Babat (BBT),,Ls,21:57:00,
12,12  Bowerno (BWO),,Ls,22:02:00,
13,13,Sumberrejo (SRJ),Ls,22:10:00,
14,14  Kapas (KPS),,Ls,22:14:00,
15,15  Bojonegoro (BJ),,Ls,22:18:00,
16,16  Kalitidu (KIT),,Ls,22:27:00,
0,No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,17,Tobo (TBO),Ls,22:36:00,
2,18  Cepu (CU),,Ls,22:40:00,
3,19  Kapuan (KPA),,Ls,22:44:00,
4,20  Wadu (WDU),,Ls,22:48:00,
5,,21  Randublatung (RBG),Ls,22:55:00,
6,22  Doplang (DPL),,Ls,23:04:00,
7,23,Sulur (SL),Ls,23:09:00,
8,24  Kradenan (KNN),,Ls,23:15:00,
9,25,Panunggalan (PNL),Ls,23:21:00,
10,26,Jambon (JBN),Ls,23:24:00,
11,27  Gambringan (GBN),,Ls,23:30:00,
12,28  Ngrombo (NBO),,Ls,23:31:00,
13,29,Sedadi (SDI),Ls,23:34:00,
14,30  Karangjati (KGT),,Ls,23:39:00,
15,31  Gubug (GUB),,Ls,23:46:00,
16,32,Tegowanu (TGW),Ls,23:50:00,// KA 2535F JJ (KA 2535F JJ =)
17,33  Brumbung (BBG),,Ls,23:55:00,
18,34  Alastua (ATA),,Ls,23:59:00,
19,35,Semarang Tawang (SMT),00:07:00,00:10:00,
20,36,Semarang Poncol (SMC),Ls,00:14:00,
21,37,Jerakah (JRK),Ls,00:18:00,
22,38  Mangkang (MKG),,Ls,00:22:00,
23,39  Kaliwungu (KLN),,Ls,00:25:00,
24,40  Kalibodri (KBD),,Ls,00:33:00,
25,41  Weleri (WLR),,Ls,00:38:00,
26,42  Krengseng (KNS),,Ls,00:41:00,
27,43,Plabuan (PLB),Ls,00:47:00,
28,44  Kuripan (KRP),,Ls,00:52:00,
29,45  Ujungnegoro (UJN),,Ls,01:00:00,
30,46  Batang (BTG),,Ls,01:03:00,
31,47,Pekalongan (PK),Ls,01:10:00,
32,48,Sragi (SRI),Ls,01:17:00,
33,49  Comal (CO),,Ls,01:20:00,
34,50,Petarukan (PTA),Ls,01:25:00,
35,51,Pemalang (PML),Ls,01:29:00,// KA 177 (KA 177 =)
36,52,Surodadi (SD),Ls,01:36:00,
37,53,Larangan (LR),Ls,01:42:00,
38,54,Tegal (TG),Ls,01:45:00,
39,55  Brebes (BB),,Ls,01:52:00,
40,56,Tanjung (TGN),Ls,02:03:00,
41,57,Losari (LOS),Ls,02:08:00,
42,58  Babakan (BBK),,Ls,02:13:00,
43,,59  Waruduwur (WDW),Ls,02:20:00,
