,0,1,2,3,4,5,6,7
36,126,126F,KA EKSEKUTIF EKONOMI,CHERIBON FAKULTATIF,GMR-CN,23:55:00,02:50:00,263
37,127,127,KA EKSEKUTIF EKONOMI,PANGANDARAN,BJR-GMR,17:00:00,01:10:00,266
38,128,128,KA EKSEKUTIF EKONOMI,PANGANDARAN,GMR-BJR,08:30:00,16:08:00,267
39,129,129,KA EKSEKUTIF EKONOMI,PAPANDAYAN,GRT-GMR,12:40:00,18:00:00,271
40,130,130,KA EKSEKUTIF EKONOMI,PAPANDAYAN,GMR-GRT,06:35:00,11:45:00,272
41,131,131,KA EKSEKUTIF EKONOMI,PARAHYANGAN,BD-GMR,05:00:00,08:00:00,275
42,132,132,KA EKSEKUTIF,PARAHYANGAN,GMR-BD,07:30:00,10:21:00,275
43,133,133,KA EKSEKUTIF,PARAHYANGAN,BD-GMR,11:05:00,14:12:00,276
44,134,134,KA EKSEKUTIF EKONOMI,PARAHYANGAN,GMR-BD,18:25:00,21:20:00,277
45,135,135,KA EKSEKUTIF EKONOMI,PARAHYANGAN,BD-GMR,06:35:00,09:40:00,278
46,136,136,KA EKSEKUTIF EKONOMI,PARAHYANGAN,GMR-BD,10:05:00,13:18:00,279
47,137,137,KA EKSEKUTIF EKONOMI,PARAHYANGAN,BD-GMR,13:05:00,16:04:00,280
2,138,138,KA EKSEKUTIF,PARAHYANGAN,GMR-BD,09:15:00,12:18:00,281
3,139,139,KA EKSEKUTIF,PARAHYANGAN,BD-GMR,19:25:00,22:24:00,282
4,140,140,KA EKSEKUTIF,PARAHYANGAN,GMR-BD,23:05:00,02:02:00,283
5,141,141F,KA EKSEKUTIF,PARAHYANGAN FAKULTATIF,BD-GMR,10:25:00,13:13:00,284
6,142,142F,KA EKSEKUTIF,PARAHYANGAN FAKULTATIF,GMR-BD,13:40:00,16:42:00,285
7,143,143,KA EKSEKUTIF EKONOMI,MADIUN JAYA,MN-PSE,08:00:00,17:03:00,288
8,144,144,KA EKSEKUTIF EKONOMI,MADIUN JAYA,PSE-MN,21:10:00,06:05:00,290
9,145,146,KA EKSEKUTIF EKONOMI,BLAMBANGAN EKSPRES,PSE-SBI,12:10:00,22:15:00,294
10,146,147,KA EKSEKUTIF EKONOMI,BLAMBANGAN EKSPRES,SBI-KTG,22:25:00,04:40:00,296
11,147,148,KA EKSEKUTIF EKONOMI,BLAMBANGAN EKSPRES,KTG-SBI,15:45:00,21:57:00,297
12,148,145,KA EKSEKUTIF EKONOMI,BLAMBANGAN EKSPRES,SBI-PSE,22:10:00,08:16:00,298
13,149,149,KA EKSEKUTIF EKONOMI,SINGASARI,BL-PSE,16:40:00,05:33:00,303
14,150,150,KA EKSEKUTIF EKONOMI,SINGASARI,PSE-BL,21:55:00,11:30:00,305
15,151,151,KA EKSEKUTIF EKONOMI,BRANTAS,BL-PSE,12:55:00,01:40:00,310
16,152,152,KA EKSEKUTIF EKONOMI,BRANTAS,PSE-BL,14:10:00,03:15:00,312
17,153,156,KA EKSEKUTIF EKONOMI,RANGGAJATI,JR-SGU,05:45:00,09:09:00,317
18,154,153,KA EKSEKUTIF EKONOMI,RANGGAJATI,SGU-CN,09:45:00,19:23:00,317
