,ka_number,class_name,train_name,departure_time,arrival_time,origin_station_code,destination_station_code,origin_station_name,destination_station_name
80,81,KA EKSEKUTIF EKONOMI,SANCAKA,07:00:00,11:00:00,SGU,YK,Surabaya Gubeng,Yogyakarta
81,82,KA EKSEKUTIF EKONOMI,SANCAKA,11:30:00,15:30:00,YK,SGU,Yogyakarta,Surabaya Gubeng
82,83,KA EKSEKUTIF EKONOMI,SANCAKA,16:30:00,20:35:00,SGU,YK,Surabaya Gubeng,Yogyakarta
83,84,KA EKSEKUTIF EKONOMI,SANCAKA,06:45:00,10:45:00,YK,SGU,Yogyakarta,Surabaya Gubeng
84,85,KA EKSEKUTIF EKONOMI,SANCAKA,11:15:00,15:15:00,SGU,YK,Surabaya Gubeng,Yogyakarta
85,86,KA EKSEKUTIF EKONOMI,SANCAKA,17:00:00,21:00:00,YK,SGU,Yogyakarta,Surabaya Gubeng
86,87F,KA EKSEKUTIF EKONOMI,SANCAKA,22:00:00,02:00:00,SGU,YK,Surabaya Gubeng,Yogyakarta
87,88F,KA EKSEKUTIF EKONOMI,SANCAKA,22:25:00,02:25:00,YK,SGU,Yogyakarta,Surabaya Gubeng
88,89,KA EKSEKUTIF EKONOMI,GAYABARU MALAM SELATAN,06:30:00,19:03:00,SGU,PSE,Surabaya Gubeng,Pasar Senen
89,90,KA EKSEKUTIF EKONOMI,GAYABARU MALAM SELATAN,11:10:00,23:35:00,PSE,SGU,Pasar Senen,Surabaya Gubeng
90,92,KA EKSEKUTIF EKONOMI,JAYABAYA,22:15:00,08:09:00,PSE,SBI,Pasar Senen,Surabaya Pasarturi
91,93,KA EKSEKUTIF EKONOMI,JAYABAYA,08:18:00,10:45:00,SBI,ML,Surabaya Pasarturi,Malang
92,94,KA EKSEKUTIF EKONOMI,JAYABAYA,13:45:00,15:55:00,ML,SBI,Malang,Surabaya Pasarturi
93,91,KA EKSEKUTIF EKONOMI,JAYABAYA,16:07:00,01:58:00,SBI,PSE,Surabaya Pasarturi,Pasar Senen
94,95,KA EKSEKUTIF EKONOMI,HARINA,17:45:00,01:48:00,SBI,CKP,Surabaya Pasarturi,Cikampek
95,98,KA EKSEKUTIF EKONOMI,HARINA,02:18:00,04:15:00,CKP,BD,Cikampek,Bandung
96,97,KA EKSEKUTIF EKONOMI,HARINA,21:35:00,23:35:00,BD,CKP,Bandung,Cikampek
97,96,KA EKSEKUTIF EKONOMI,HARINA,00:08:00,08:25:00,CKP,SBI,Cikampek,Surabaya Pasarturi
98,99,KA EKSEKUTIF EKONOMI,HARINA,05:50:00,13:46:00,SBI,CKP,Surabaya Pasarturi,Cikampek
99,102,KA EKSEKUTIF EKONOMI,HARINA,14:12:00,16:20:00,CKP,BD,Cikampek,Bandung
100,101,KA EKSEKUTIF EKONOMI,HARINA,09:35:00,11:45:00,BD,CKP,Bandung,Cikampek
101,100,KA EKSEKUTIF EKONOMI,HARINA,12:10:00,20:10:00,CKP,SBI,Cikampek,Surabaya Pasarturi
102,103,KA EKSEKUTIF EKONOMI,BOGOWONTO,08:15:00,15:53:00,LPN,PSE,Lempuyangan,Pasar Senen
103,104,KA EKSEKUTIF EKONOMI,BOGOWONTO,18:10:00,01:47:00,PSE,LPN,Pasar Senen,Lempuyangan
104,105,KA EKSEKUTIF EKONOMI,GAJAHWONG,20:40:00,04:32:00,LPN,PSE,Lempuyangan,Pasar Senen
105,106,KA EKSEKUTIF EKONOMI,GAJAHWONG,07:55:00,15:50:00,PSE,LPN,Pasar Senen,Lempuyangan
106,107,KA EKSEKUTIF EKONOMI,SENJA UTAMA YK,17:30:00,00:30:00,YK,PSE,Yogyakarta,Pasar Senen
107,108,KA EKSEKUTIF EKONOMI,SENJA UTAMA YK,19:00:00,02:00:00,PSE,YK,Pasar Senen,Yogyakarta
108,109,KA EKSEKUTIF EKONOMI,FAJAR UTAMA YK,07:00:00,14:20:00,YK,PSE,Yogyakarta,Pasar Senen
109,110,KA EKSEKUTIF EKONOMI,FAJAR UTAMA YK,07:35:00,15:10:00,PSE,YK,Pasar Senen,Yogyakarta
110,111,KA EKSEKUTIF EKONOMI,SAWUNGGALIH,06:30:00,12:40:00,KTA,PSE,Kutoarjo,Pasar Senen
111,112,KA EKSEKUTIF EKONOMI,SAWUNGGALIH,13:15:00,19:15:00,PSE,KTA,Pasar Senen,Kutoarjo
112,113,KA EKSEKUTIF EKONOMI,SAWUNGGALIH,20:15:00,02:25:00,KTA,PSE,Kutoarjo,Pasar Senen
113,114,KA EKSEKUTIF EKONOMI,SAWUNGGALIH,06:30:00,12:50:00,PSE,KTA,Pasar Senen,Kutoarjo
114,115,KA EKSEKUTIF EKONOMI,SAWUNGGALIH,13:50:00,19:40:00,KTA,PSE,Kutoarjo,Pasar Senen
115,116,KA EKSEKUTIF EKONOMI,SAWUNGGALIH,20:10:00,02:13:00,PSE,KTA,Pasar Senen,Kutoarjo
116,117,KA EKSEKUTIF EKONOMI,GUNUNGJATI,05:40:00,08:27:00,CN,GMR,Cirebon,Gambir
117,118,KA EKSEKUTIF EKONOMI,GUNUNGJATI,09:00:00,14:43:00,GMR,SMT,Gambir,Semarang Tawang
118,119,KA EKSEKUTIF EKONOMI,GUNUNGJATI,15:45:00,21:35:00,SMT,GMR,Semarang Tawang,Gambir
119,120,KA EKSEKUTIF EKONOMI,GUNUNGJATI,22:05:00,01:05:00,GMR,CN,Gambir,Cirebon
