,id,province_id,name,alt_name,latitude,longitude
318,6105,61,KABUPATEN SANGGAU,KABUPATEN SANGGAU,0.25472,110.45
319,6106,61,KABUPATEN KETAPANG,KABUPATEN KETAPANG,-1.5833300000000001,110.5
320,6107,61,KABUPATEN SINTANG,KABUPATEN SINTANG,-0.08333,112.08333
321,6108,61,KABUPATEN KAPUAS HULU,KABUPATEN KAPUAS HULU,0.8166700000000001,112.76667
322,6109,61,KABUPATEN SEKADAU,KABUPATEN SEKADAU,0.034850000000000006,110.95066
323,6110,61,KABUPATEN MELAWI,KABUPATEN MELAWI,-0.33617,111.698
324,6111,61,KABUPATEN KAYONG UTARA,KABUPATEN KAYONG UTARA,-1.43711,110.79781
325,6112,61,KABUPATEN KUBU RAYA,KABUPATEN KUBU RAYA,0.016370000000000003,109.33731
326,6171,61,KOTA PONTIANAK,KOTA PONTIANAK,-0.08333,109.36667
327,6172,61,KOTA SINGKAWANG,KOTA SINGKAWANG,0.90734,109.00103
328,6201,62,KABUPATEN KOTAWARINGIN BARAT,KABUPATEN KOTAWARINGIN BARAT,-2.4,111.73333
329,6202,62,KABUPATEN KOTAWARINGIN TIMUR,KABUPATEN KOTAWARINGIN TIMUR,-2.08333,112.75
330,6203,62,KABUPATEN KAPUAS,KABUPATEN KAPUAS,-2.01667,114.38333
331,6204,62,KABUPATEN BARITO SELATAN,KABUPATEN BARITO SELATAN,-1.86667,114.73333
332,6205,62,KABUPATEN BARITO UTARA,KABUPATEN BARITO UTARA,-0.98333,115.1
333,6206,62,KABUPATEN SUKAMARA,KABUPATEN SUKAMARA,-2.62675,111.23681
334,6207,62,KABUPATEN LAMANDAU,KABUPATEN LAMANDAU,-1.8382800000000001,111.2869
335,6208,62,KABUPATEN SERUYAN,KABUPATEN SERUYAN,-2.33333,112.25
336,6209,62,KABUPATEN KATINGAN,KABUPATEN KATINGAN,-2.0666700000000002,113.4
337,6210,62,KABUPATEN PULANG PISAU,KABUPATEN PULANG PISAU,-3.11858,113.8623
338,6211,62,KABUPATEN GUNUNG MAS,KABUPATEN GUNUNG MAS,-0.9500000000000001,113.5
339,6212,62,KABUPATEN BARITO TIMUR,KABUPATEN BARITO TIMUR,-1.9333300000000002,115.1
340,6213,62,KABUPATEN MURUNG RAYA,KABUPATEN MURUNG RAYA,-0.01667,114.26667
341,6271,62,KOTA PALANGKA RAYA,KOTA PALANGKA RAYA,-1.76979,113.73126
342,6301,63,KABUPATEN TANAH LAUT,KABUPATEN TANAH LAUT,-3.88333,114.86667
343,6302,63,KABUPATEN KOTA BARU,KABUPATEN KOTA BARU,-3.0,116.0
344,6303,63,KABUPATEN BANJAR,KABUPATEN BANJAR,-3.3166700000000002,115.08333
345,6304,63,KABUPATEN BARITO KUALA,KABUPATEN BARITO KUALA,-3.08333,114.61667
346,6305,63,KABUPATEN TAPIN,KABUPATEN TAPIN,-2.91667,115.03333
347,6306,63,KABUPATEN HULU SUNGAI SELATAN,KABUPATEN HULU SUNGAI SELATAN,-2.75,115.2
348,6307,63,KABUPATEN HULU SUNGAI TENGAH,KABUPATEN HULU SUNGAI TENGAH,-2.61667,115.41667
349,6308,63,KABUPATEN HULU SUNGAI UTARA,KABUPATEN HULU SUNGAI UTARA,-2.45,115.13333
